formula,A1,A2,B,X,Eg,direct,dHf,dHd
KCsSr2Cl6,K,Cs,Sr,Cl,5.2657,False,-2.50007725,0.00902833718573648
RbPbBr3,Rb,,Pb,Br,2.3097,True,-1.4518405,0.019067910449495518
KCsNi2I6,K,Cs,Ni,I,,,,
KRbSn2I6,K,Rb,Sn,I,1.0739,True,-1.0068892499999997,0.03343564132723298
NaRbCo2Cl6,Na,Rb,Co,Cl,0.06259999999999999,False,-1.2052245,0.1381330484566372
NaRbCu2Cl6,Na,Rb,Cu,Cl,0.0,False,-1.2595152500000002,0.02670599978997057
RbCsCu2I6,Rb,Cs,Cu,I,0.0,False,-0.7487945,0.07858008012365714
KCsCu2Br6,K,Cs,Cu,Br,0.0,False,-1.0859130000000001,0.008693247216336353
RbNiBr3,Rb,,Ni,Br,0.2248000000000001,False,-1.04054425,0.08376675044950366
RbCsBa2Cl6,Rb,Cs,Ba,Cl,5.1307,False,-2.5089907499999997,0.03102832337147321
RbBaBr3,Rb,,Ba,Br,3.9695,False,-2.1674335000000005,0.07433945644950057
NaRbNi2F6,Na,Rb,Ni,F,0.5036999999999998,False,-2.2996309999999993,0.04738897006383169
KCrBr3,K,,Cr,Br,0.0,False,-1.2667082500000006,0.053983574782836996
KMnBr3,K,,Mn,Br,1.1760000000000002,True,-1.3383517500000004,0.04815343970812247
RbCsFe2Br6,Rb,,Cs,F,0.05699999999999994,True,-1.10340675,0.10317662094950375
KCsFe2I6,K,,Cs,F,0.0,False,-0.7323927500000004,0.09249386995699238
KCsCu2F6,K,,Cu,F,0.06790000000000007,True,-2.2875685000000003,-0.004455000000000986
KCdCl3,K,,Cd,Cl,2.2016,True,-1.61858875,0.04836547162147076
KCsNi2Cl6,K,Cs,Ni,Cl,0.0,False,-1.277063,0.09256054387147339
RbCsCa2I6,Rb,Cs,Ca,I,4.003299999999999,False,-1.69407325,0.013279690456991844
CsCdI3,Cs,,Cd,I,0.9974,True,-1.027707025,0.09313640720698757
KMgBr3,K,,Mg,Br,3.187,True,-1.7579582500000002,0.044105274616169865
KCdBr3,K,,Cd,Br,2.1311,True,-1.3620705000000002,0.06974467644950222
RbCsNi2Cl6,Rb,,Ni,F,0.0,False,-1.2739172499999998,0.0936988943714736
RbSnI3,Rb,,Sn,I,1.0448999999999997,True,-1.016178,0.027492797827232796
KRbNi2Br6,K,Rb,Ni,Br,0.0,False,-1.0183922500000002,0.10589967494950381
KCsNi2F6,K,Cs,Ni,F,0.2912999999999999,False,-2.295832,0.07462852181199953
KPbCl3,K,,Pb,Cl,2.9715000000000003,True,-1.66937225,0.04042421912147365
KRbMg2Br6,K,Rb,Mg,Br,2.9229,True,-1.76217625,0.03990635011617094
KCsPb2Cl6,K,Cs,Pb,Cl,2.7857999999999996,True,-1.6973487500000004,0.027221632871475165
KRbCu2F6,K,Rb,Cu,F,0.0,False,-2.3014114999999995,0.0007888749999995781
KCsCd2Br6,K,Cs,Cd,Br,1.2368999999999999,False,-1.3830359999999995,0.07032117969950136
NaRbCd2Br6,Na,Rb,Cd,Br,1.7137,False,-1.3300810000000003,0.08284793753466602
RbTiCl3,Rb,,Ti,Cl,0.0,False,-1.797762,0.11569184362872598
RbCsSn2F6,Rb,Cs,Sn,F,3.3383000000000003,False,-2.7105357499999996,0.01012437500000285
KCsBa2Cl6,K,Cs,Ba,Cl,5.1448,True,-2.5010499999999998,0.04097647287147321
KPtCl3,K,,Pt,Cl,0.0,False,-1.1176599999999994,0.18809612137147536
KAgCo2F6,K,Ag,Co,F,0.23399999999999999,False,-1.9702912499999996,0.06706998210366688
KAgZn2F6,K,Ag,Zn,F,2.0277,True,-2.32886475,0.06210971422866374
KRbZn2Cl6,K,Rb,Zn,Cl,3.3499,True,-1.6354979999999995,0.09024596118397543
AgCsCo2F6,Ag,Cs,Co,F,0.017600000000000282,False,-1.8837387500000005,0.14494578260366353
AgCsCd2F6,Ag,Cs,Cd,F,1.6457,False,-2.2245075,0.08458003922866197
KRbFe2I6,K,,Rb,F,0.018399999999999972,False,-0.7056774999999998,0.10889124095699287
KCsTi2Br6,K,Cs,Ti,Br,0.006599999999999939,False,-1.41722125,0.18691584370675685
RbBaF3,Rb,,Ba,F,5.7403,False,-3.553543,0.07004141947866316
KRbSr2Cl6,K,Rb,Sr,Cl,5.2648,True,-2.4895310000000004,0.005750524871474649
KRbV2F6,K,Rb,V,F,0.5174999999999996,True,-2.8324212500000003,0.0792094310828304
NaRbCr2Cl6,Na,Rb,Cr,Cl,0.0,False,-1.5215457500000007,0.0814662296233033
NaRbMn2Cl6,Na,Rb,Mn,Cl,1.3792,True,-1.60111025,0.05258782721526156
NaKMg2Cl6,Na,K,Mg,Cl,4.6382,False,-2.0722569999999996,0.032416271956639875
NaKCr2Cl6,Na,K,Cr,Cl,0.0,False,-1.5139667499999994,0.0672906999566365
RbVF3,Rb,,V,F,0.5373999999999999,True,-2.8277565000000005,0.061072712145326946
KCsMg2F6,K,Cs,Mg,F,6.6846,False,-3.4431895,0.04337896553099885
KCsSr2F6,K,Cs,Sr,F,6.1274999999999995,False,-3.6247479999999994,0.04813254397866018
KRbSn2Cl6,K,Rb,Sn,Cl,2.0705999999999998,True,-1.6290985,0.017771790241711383
RbCsPt2Cl6,Rb,Cs,Pt,Cl,0.0,False,-1.0922017500000003,0.24707042787147415
KCoI3,K,,Co,I,0.0,False,-0.56610525,0.19975599779032382
KNiI3,K,,Ni,I,,,,
RbCsFe2Cl6,Rb,,Cs,F,0.025800000000000045,False,-1.4253694999999993,0.06119072087147348
KCsZn2Cl6,K,Cs,Zn,Cl,3.1595999999999997,True,-1.6369437500000004,0.10212481593397449
RbBaCl3,Rb,,Ba,Cl,4.9722,False,-2.4864170000000003,0.04919750737147277
KBaBr3,K,,Ba,Br,4.4581,True,-2.19677575,0.044959055449500074
RbSnF3,Rb,,Sn,F,3.4833999999999996,True,-2.7106177499999995,-0.020892547836216302
KSnCl3,K,,Sn,Cl,1.9517,True,-1.6205077500000002,0.014970788241713162
CsTiF3,Cs,,Ti,F,0.0,False,-2.8901267500000003,0.25003357565017836
CsVI3,Cs,,V,I,0.1358999999999999,True,-0.8939037499999994,0.1112188424569922
RbCsZn2Cl6,Rb,Cs,Zn,Cl,3.3506,True,-1.6599439999999999,0.08456549118397616
NaKMn2F6,Na,K,Mn,F,1.4091999999999998,False,-2.7573615000000005,0.026716337989115324
RbCsBa2I6,Rb,Cs,Ba,I,3.8042,True,-1.77560125,0.02675738845699316
KCrI3,K,,Cr,I,0.0,False,-0.8155155000000004,0.11485313579032352
KSnI3,K,,Sn,I,1.0709,True,-0.98378175,0.05319723482723271
KRbSr2Br6,K,Rb,Sr,Br,4.4344,True,-2.1811650000000005,0.007325398949500794
KCsV2Br6,K,Cs,V,Br,0.17210000000000036,False,-1.318540999999999,0.07696739894950344
RbCsFe2F6,Rb,,Cs,F,0.14040000000000008,False,-2.412774749999999,0.146522899784868
KCaI3,K,,Ca,I,4.0123,True,-1.6580895000000004,0.03225374845699136
KSrCl3,K,,Sr,Cl,5.269,True,-2.4835209999999996,0.013767924371475004
KCsFe2Cl6,K,Cs,Cs,Cl,0.010000000000000009,False,-1.3960935000000005,0.08170408262147788
